timestamp,open,high,low,close,volume
1672531200,16530,16532,16507,16521,17.05204457
1672534800,16521,16542,16519,16542,13.29582632
1672538400,16540,16546,16532,16537,13.03897834
1672542000,16537,16537,16515,16522,16.04984532
1672545600,16523,16523,16509,16509,6.20871686
1672549200,16512,16519,16507,16518,4.93912962
1672552800,16519,16535,16519,16530,15.11529253
1672556400,16531,16533,16496,16517,38.5687573
1672560000,16517,16521,16501,16504,24.9036462
1672563600,16504,16529,16498,16529,27.88547566
1672567200,16527,16533,16524,16533,10.34210614
1672570800,16533,16544,16532,16544,10.98880972
1672574400,16544,16560,16544,16555,26.41853605
1672578000,16555,16559,16537,16541,16.96234024
1672581600,16541,16550,16540,16542,9.42555482
1672585200,16542,16546,16535,16546,14.49466395
1672588800,16546,16569,16546,16558,29.59443097
1672592400,16562,16586,16557,16572,24.00113221
1672596000,16573,16592,16573,16584,15.28865287
1672599600,16588,16612,16588,16597,30.73630375
1672603200,16597,16617,16594,16602,22.73858965
1672606800,16603,16603,16592,16602,18.76168031
1672610400,16603,16604,16590,16599,17.348939
1672614000,16599,16622,16599,16615,49.67328561
1672617600,16615,16620,16584,16584,31.53858098
1672621200,16584,16584,16552,16561,38.71260101
1672624800,16560,16582,16556,16582,17.49174094
1672628400,16582,16688,16579,16661,79.6318883
1672632000,16660,16664,16630,16631,26.70798509
1672635600,16631,16648,16618,16641,26.53180168
1672639200,16642,16650,16633,16636,12.57710446
1672642800,16636,16746,16632,16718,124.17317187
1672646400,16716,16752,16710,16725,75.48400915
1672650000,16728,16738,16710,16712,63.1773063
1672653600,16712,16744,16706,16723,32.49312977
1672657200,16723,16730,16706,16730,21.37221245
1672660800,16730,16735,16718,16718,16.35098175
1672664400,16718,16719,16682,16688,31.94566319
1672668000,16689,16700,16672,16695,22.39583233
1672671600,16696,16739,16691,16727,42.44169491
1672675200,16732,16734,16708,16709,24.65154694
1672678800,16708,16715,16706,16709,29.36719343
1672682400,16709,16722,16704,16718,14.07894987
1672686000,16718,16728,16711,16727,22.95321989
1672689600,16728,16730,16706,16724,97.48778476
1672693200,16724,16782,16719,16751,42.68387741
1672696800,16753,16755,16690,16694,77.68689116
1672700400,16693,16716,16665,16673,74.79226916
1672704000,16668,16700,16655,16694,34.65980066
1672707600,16691,16691,16654,16672,39.687309
1672711200,16672,16681,16668,16673,19.49992599
1672714800,16672,16694,16666,16689,22.90353397
1672718400,16690,16694,16682,16687,45.81204909
1672722000,16683,16720,16682,16720,38.41068045
1672725600,16720,16766,16720,16723,65.41516429
1672729200,16724,16727,16712,16727,30.30620154
1672732800,16727,16730,16699,16711,25.7376893
1672736400,16711,16748,16710,16736,50.08237542
1672740000,16741,16745,16722,16723,42.55680142
1672743600,16723,16728,16708,16716,47.67894795
